Country,Report_Date,Confirmed,Deaths,Recovered,Active,New Confirmed,New Deaths,New Recovered
Pakistan,25/02/2020,2,0,0,2,2,0,0
Pakistan,26/02/2020,2,0,0,2,0,0,0
Pakistan,27/02/2020,2,0,0,2,0,0,0
Pakistan,28/02/2020,4,0,0,4,2,0,0
Pakistan,29/02/2020,4,0,0,4,0,0,0
Pakistan,01/03/2020,4,0,0,4,0,0,0
Pakistan,02/03/2020,5,0,0,5,1,0,0
Pakistan,03/03/2020,5,0,0,5,0,0,0
Pakistan,04/03/2020,5,0,0,5,0,0,0
Pakistan,05/03/2020,6,0,0,6,1,0,0
Pakistan,06/03/2020,6,0,0,6,0,0,0
Pakistan,07/03/2020,6,0,1,5,0,0,1
Pakistan,08/03/2020,6,0,1,5,0,0,0
Pakistan,09/03/2020,16,0,1,15,10,0,0
Pakistan,10/03/2020,19,0,2,17,3,0,1
Pakistan,11/03/2020,20,0,2,18,1,0,0
Pakistan,12/03/2020,28,0,2,26,8,0,0
Pakistan,13/03/2020,31,0,2,29,3,0,0
Pakistan,14/03/2020,53,0,2,51,22,0,0
Pakistan,15/03/2020,136,0,2,134,83,0,0
Pakistan,16/03/2020,236,0,2,234,100,0,0
Pakistan,17/03/2020,299,0,2,297,63,0,0
Pakistan,18/03/2020,454,2,13,439,155,2,11
Pakistan,19/03/2020,501,3,13,485,47,1,0
Pakistan,20/03/2020,730,3,13,714,229,0,0
Pakistan,21/03/2020,776,5,5,766,46,2,-8
Pakistan,22/03/2020,875,6,5,864,99,1,0
Pakistan,23/03/2020,972,7,18,947,97,1,13
Pakistan,24/03/2020,1063,8,21,1034,91,1,3
Pakistan,25/03/2020,1201,9,21,1171,138,1,0
Pakistan,26/03/2020,1373,11,23,1339,172,2,2
Pakistan,27/03/2020,1495,12,29,1454,122,1,6
Pakistan,28/03/2020,1597,14,29,1554,102,2,0
Pakistan,29/03/2020,1717,21,76,1620,120,7,47
Pakistan,30/03/2020,1938,26,76,1836,221,5,0
Pakistan,31/03/2020,2118,27,94,1997,180,1,18
Pakistan,01/04/2020,2421,34,125,2262,303,7,31
Pakistan,02/04/2020,2686,40,126,2520,265,6,1
Pakistan,03/04/2020,2818,41,131,2646,132,1,5
Pakistan,04/04/2020,3157,47,211,2899,339,6,80
Pakistan,05/04/2020,3766,53,259,3454,609,6,48
Pakistan,06/04/2020,4035,57,429,3549,269,4,170
Pakistan,07/04/2020,4263,61,467,3735,228,4,38
Pakistan,08/04/2020,4489,65,572,3852,226,4,105
Pakistan,09/04/2020,4695,66,727,3902,206,1,155
Pakistan,10/04/2020,5011,86,762,4163,316,20,35
Pakistan,11/04/2020,5230,91,1028,4111,219,5,266
Pakistan,12/04/2020,5496,93,1095,4308,266,2,67
Pakistan,13/04/2020,5837,96,1378,4363,341,3,283
Pakistan,14/04/2020,6383,111,1446,4826,546,15,68
Pakistan,15/04/2020,6919,128,1645,5146,536,17,199
Pakistan,16/04/2020,7025,135,1765,5125,106,7,120
Pakistan,17/04/2020,7638,143,1832,5663,613,8,67
Pakistan,18/04/2020,8348,168,1868,6312,710,25,36
Pakistan,19/04/2020,8418,176,1970,6272,70,8,102
Pakistan,20/04/2020,9565,201,2073,7291,1147,25,103
Pakistan,21/04/2020,10076,212,2156,7708,511,11,83
Pakistan,22/04/2020,11155,237,2527,8391,1079,25,371
Pakistan,23/04/2020,11940,253,2755,8932,785,16,228
Pakistan,24/04/2020,12723,269,2866,9588,783,16,111
Pakistan,25/04/2020,13328,281,2936,10111,605,12,70
Pakistan,26/04/2020,13915,292,3029,10594,587,11,93
Pakistan,27/04/2020,14612,312,3233,11067,697,20,204
Pakistan,28/04/2020,15525,343,3425,11757,913,31,192
Pakistan,29/04/2020,16817,385,4315,12117,1292,42,890
Pakistan,30/04/2020,18114,417,4715,12982,1297,32,400
Pakistan,01/05/2020,19103,440,4817,13846,989,23,102
Pakistan,02/05/2020,20084,457,5114,14513,981,17,297
